,Year,HH_LGA_ID,HH_LGA_NAME,TRAVEL_MODE,TRIPS_BY_MODE,PCT_OF_TOTAL_TRIPS,MODE_SHARE,DISTANCE_BY_MODE,PCT_OF_TOTAL_DISTANCE,TRIP_AVG_DISTANCE (km),TRIP_AVG_TIME (mins)
505,2024,8250,Willoughby,walk linked,72000,17.8,,47000,2.3,0.7,8.9
506,2024,8250,Willoughby,walk only,69000,17.1,20.8,51000,2.6,0.7,12.2
507,2024,8350,Wingecarribee,other**,2000,1.0,1.1,14000,0.5,5.9,27.8
508,2024,8350,Wingecarribee,public transport*,12000,5.4,5.7,338000,11.8,27.3,43.7
509,2024,8350,Wingecarribee,vehicle driver,131000,57.8,60.3,1832000,63.9,13.9,18.9
510,2024,8350,Wingecarribee,vehicle passenger*,54000,23.5,24.6,651000,22.7,12.2,18.1
511,2024,8350,Wingecarribee,walk linked*,9000,4.1,,7000,0.2,0.7,15.6
512,2024,8350,Wingecarribee,walk only,18000,8.0,8.4,28000,1.0,1.5,17.8
513,2024,8400,Wollondilly,other**,1000,0.7,0.7,2000,0.1,1.3,23.7
514,2024,8400,Wollondilly,public transport**,2000,1.1,1.1,44000,1.5,23.5,46.9
515,2024,8400,Wollondilly,vehicle driver,98000,58.2,59.2,2188000,72.3,22.2,29.7
516,2024,8400,Wollondilly,vehicle passenger*,47000,27.6,28.0,758000,25.0,16.3,22.4
517,2024,8400,Wollondilly,walk linked**,3000,1.6,,1000,0.0,0.5,6.6
518,2024,8400,Wollondilly,walk only*,18000,10.8,11.0,33000,1.1,1.8,17.3
519,2024,8450,Wollongong,other,24000,3.1,3.4,108000,1.7,4.5,22.6
520,2024,8450,Wollongong,public transport,36000,4.6,5.0,474000,7.3,13.3,27.2
521,2024,8450,Wollongong,vehicle driver,394000,51.2,55.4,4219000,65.1,10.7,16.6
522,2024,8450,Wollongong,vehicle passenger,157000,20.4,22.0,1546000,23.9,9.8,15.9
523,2024,8450,Wollongong,walk linked,58000,7.6,,41000,0.6,0.7,9.1
524,2024,8450,Wollongong,walk only,101000,13.2,14.2,89000,1.4,0.9,16.0
525,2024,8500,Woollahra,other*,6000,2.3,2.8,46000,5.1,7.5,39.4
526,2024,8500,Woollahra,public transport,23000,8.6,10.2,105000,11.6,4.6,17.1
527,2024,8500,Woollahra,vehicle driver,83000,31.3,37.0,444000,48.8,5.4,16.9
528,2024,8500,Woollahra,vehicle passenger,37000,14.0,16.6,232000,25.5,6.3,20.1
529,2024,8500,Woollahra,walk linked,41000,15.5,,23000,2.5,0.6,9.2
530,2024,8500,Woollahra,walk only,75000,28.3,33.5,60000,6.6,0.8,13.3
